Run,Heuristic,TimeTaken,PathLength,NodesExpanded,PathFound
1,Manhattan,0,11,13,Yes
1,Euclidean,0,11,14,Yes
1,Chebyshev,0,11,18,Yes
2,Manhattan,0,31,112,Yes
2,Euclidean,0,31,160,Yes
2,Chebyshev,0.0009978,31,208,Yes
3,Manhattan,0,35,49,Yes
3,Euclidean,0.0010014,31,112,Yes
3,Chebyshev,0,31,204,Yes
4,Manhattan,0,8,11,Yes
4,Euclidean,0,8,14,Yes
4,Chebyshev,0.0009994,8,15,Yes
5,Manhattan,0,15,20,Yes
5,Euclidean,0,15,29,Yes
5,Chebyshev,0,15,37,Yes
6,Manhattan,0,15,51,Yes
6,Euclidean,0,15,61,Yes
6,Chebyshev,0.0009995,15,84,Yes
7,Manhattan,0,20,40,Yes
7,Euclidean,0.0010023,20,125,Yes
7,Chebyshev,0.0009977,20,174,Yes
8,Manhattan,0,39,103,Yes
8,Euclidean,0.0010002,35,208,Yes
8,Chebyshev,0.0010247,35,342,Yes
9,Manhattan,0,24,48,Yes
9,Euclidean,0,23,79,Yes
9,Chebyshev,0.0009973,23,141,Yes
10,Manhattan,0,19,22,Yes
10,Euclidean,0.0010022,19,72,Yes
10,Chebyshev,0,19,102,Yes
11,Manhattan,0.0010084,33,40,Yes
11,Euclidean,0,30,109,Yes
11,Chebyshev,0.0019975,30,307,Yes
12,Manhattan,0.0009986,21,88,Yes
12,Euclidean,0,21,120,Yes
12,Chebyshev,0,21,150,Yes
13,Manhattan,0,20,26,Yes
13,Euclidean,0.0009992,20,76,Yes
13,Chebyshev,0,20,120,Yes
14,Manhattan,0,39,129,Yes
14,Euclidean,0.0019979,39,294,Yes
14,Chebyshev,0.0020035,39,463,Yes
15,Manhattan,0,28,50,Yes
15,Euclidean,0,24,123,Yes
15,Chebyshev,0.0015111,24,186,Yes
16,Manhattan,0,35,64,Yes
16,Euclidean,0.0010029,32,126,Yes
16,Chebyshev,0.0010148,32,278,Yes
17,Manhattan,0,15,20,Yes
17,Euclidean,0,13,27,Yes
17,Chebyshev,0,13,49,Yes
18,Manhattan,0,22,51,Yes
18,Euclidean,0.0010081,21,99,Yes
18,Chebyshev,0.0005092,21,156,Yes
19,Manhattan,0.002009,35,209,Yes
19,Euclidean,0.000998,35,405,Yes
19,Chebyshev,0.001998,35,491,Yes
20,Manhattan,0,8,8,Yes
20,Euclidean,0,8,8,Yes
20,Chebyshev,0,8,23,Yes
21,Manhattan,0.0010017,30,62,Yes
21,Euclidean,0,27,137,Yes
21,Chebyshev,0.0009993,27,191,Yes
22,Manhattan,0.0009997,11,32,Yes
22,Euclidean,0,11,48,Yes
22,Chebyshev,0,11,52,Yes
23,Manhattan,0,34,82,Yes
23,Euclidean,0.0009931,34,321,Yes
23,Chebyshev,0.00199,34,461,Yes
24,Manhattan,0,31,83,Yes
24,Euclidean,0,31,127,Yes
24,Chebyshev,0.0010011,31,186,Yes
25,Manhattan,0.0009955,26,162,Yes
25,Euclidean,0,25,256,Yes
25,Chebyshev,0.0010014,25,287,Yes
26,Manhattan,0,30,36,Yes
26,Euclidean,0.0009776,28,149,Yes
26,Chebyshev,0.0009984,28,289,Yes
27,Manhattan,0.0009974,22,41,Yes
27,Euclidean,0,22,74,Yes
27,Chebyshev,0,22,129,Yes
28,Manhattan,0,7,10,Yes
28,Euclidean,0,7,9,Yes
28,Chebyshev,0,7,8,Yes
29,Manhattan,0,15,17,Yes
29,Euclidean,0.0010158,15,42,Yes
29,Chebyshev,0,15,75,Yes
30,Manhattan,0,14,39,Yes
30,Euclidean,0.0009956,13,43,Yes
30,Chebyshev,0,13,59,Yes
31,Manhattan,0,4,4,Yes
31,Euclidean,0,4,5,Yes
31,Chebyshev,0,4,6,Yes
32,Manhattan,0,47,92,Yes
32,Euclidean,0.0009984,41,359,Yes
32,Chebyshev,0.0025082,41,479,Yes
33,Manhattan,0,26,62,Yes
33,Euclidean,0.001004,26,119,Yes
33,Chebyshev,0,26,160,Yes
34,Manhattan,0,14,21,Yes
34,Euclidean,0,14,29,Yes
34,Chebyshev,0.0009964,14,40,Yes
35,Manhattan,0,36,150,Yes
35,Euclidean,0.001016,36,264,Yes
35,Chebyshev,0.0019868,36,377,Yes
36,Manhattan,0,14,26,Yes
36,Euclidean,0,13,39,Yes
36,Chebyshev,0,13,61,Yes
37,Manhattan,0.0009983,17,20,Yes
37,Euclidean,0,16,45,Yes
37,Chebyshev,0,16,89,Yes
38,Manhattan,0,29,68,Yes
38,Euclidean,0.0010059,29,157,Yes
38,Chebyshev,0.0029988,29,225,Yes
39,Manhattan,0.0009971,15,41,Yes
39,Euclidean,0,15,51,Yes
39,Chebyshev,0,15,71,Yes
40,Manhattan,0.0010367,46,125,Yes
40,Euclidean,0.0009694,43,255,Yes
40,Chebyshev,0.0009989,43,377,Yes
41,Manhattan,0,16,20,Yes
41,Euclidean,0.0010006,15,48,Yes
41,Chebyshev,0,15,68,Yes
42,Manhattan,0,29,45,Yes
42,Euclidean,0,27,136,Yes
42,Chebyshev,0.0010151,27,224,Yes
43,Manhattan,0,9,14,Yes
43,Euclidean,0,9,18,Yes
43,Chebyshev,0,9,23,Yes
44,Manhattan,0.0010026,29,42,Yes
44,Euclidean,0,28,158,Yes
44,Chebyshev,0.0019981,28,269,Yes
45,Manhattan,0,25,94,Yes
45,Euclidean,0.0010232,25,173,Yes
45,Chebyshev,0,25,236,Yes
46,Manhattan,0,19,22,Yes
46,Euclidean,0,19,33,Yes
46,Chebyshev,0,19,94,Yes
47,Manhattan,0,14,22,Yes
47,Euclidean,0.0010028,13,23,Yes
