Run,Method,TimeTaken,BacktrackCount,Assignments,SolutionFound
1,Backtracking,0,0,44,Yes
1,ForwardChecking,0,0,18,Yes
2,Backtracking,0,0,44,Yes
2,ForwardChecking,0,0,15,Yes
3,Backtracking,0,0,59,Yes
3,ForwardChecking,0,0,13,Yes
4,Backtracking,0,0,44,Yes
4,ForwardChecking,0,0,8,Yes
5,Backtracking,0,0,60,Yes
5,ForwardChecking,0,0,12,Yes
6,Backtracking,0.00098,0,65,Yes
6,ForwardChecking,0,0,14,Yes
7,Backtracking,0.0009993,0,65,Yes
7,ForwardChecking,0,0,9,Yes
8,Backtracking,0,0,56,Yes
8,ForwardChecking,0,0,13,Yes
9,Backtracking,0,0,48,Yes
9,ForwardChecking,0,0,10,Yes
10,Backtracking,0,0,72,Yes
10,ForwardChecking,0,0,19,Yes
11,Backtracking,0.0009982,0,66,Yes
11,ForwardChecking,0,0,30,Yes
12,Backtracking,0,0,72,Yes
12,ForwardChecking,0.0010003,0,12,Yes
13,Backtracking,0,0,44,Yes
13,ForwardChecking,0,0,9,Yes
14,Backtracking,0,0,61,Yes
14,ForwardChecking,0,0,9,Yes
15,Backtracking,0,0,66,Yes
15,ForwardChecking,0,0,16,Yes
16,Backtracking,0,0,59,Yes
16,ForwardChecking,0,0,11,Yes
17,Backtracking,0,0,52,Yes
17,ForwardChecking,0,0,12,Yes
18,Backtracking,0,0,76,Yes
18,ForwardChecking,0,0,16,Yes
19,Backtracking,0,0,80,Yes
19,ForwardChecking,0,0,8,Yes
20,Backtracking,0,0,56,Yes
20,ForwardChecking,0.0009999,0,8,Yes
